Date,Description,Ref Number,Type,Amount,Balance
2026-07-01,ACH CREDIT - TECHCORP PVT LTD SALARY JUN 2026,SAL20260701,CREDIT,125000.00,245000.00
2026-07-02,UPI/SWIGGY/swiggy@paytm/Order #98420,UPI702001,DEBIT,540.00,244460.00
2026-07-03,ACH DEBIT HDFC HOME LOAN EMI 481921,EMI20260703,DEBIT,32500.00,211960.00
2026-07-04,UPI/DMART/dmart@icici/Monthly Provisions,UPI704002,DEBIT,5890.00,206070.00
2026-07-05,NETFLIX DIGITAL RECURRING SUBSCRIPTION,SUB92020,DEBIT,649.00,205421.00
2026-07-06,UPI/ZOMATO/zomato@axis/Weekend Dining,UPI706003,DEBIT,1240.00,204181.00
2026-07-07,ACH DEBIT MUTUAL FUND SIP ZERODHA,INV707001,DEBIT,15000.00,189181.00
2026-07-08,UPI/ELECTRICITY BOARD/bescom@sbi/Power Bill,UPI708004,DEBIT,2450.00,186731.00
2026-07-09,ATM WDL - SBI BANK MG ROAD BR,ATM709001,DEBIT,4000.00,182731.00
2026-07-10,POS/APPLE STORE/LAPTOP ACCESSORIES,POS710001,DEBIT,38900.00,143831.00
2026-07-11,UPI/SPOTIFY/spotify@paytm/Music Monthly,UPI711005,DEBIT,119.00,143712.00
2026-07-12,UPI/AIRTEL BILL/airtel@paytm/Fiber Broadband,UPI712008,DEBIT,1179.00,142533.00
2026-07-12,UPI/AIRTEL BILL/airtel@paytm/Fiber Broadband,UPI712008,DEBIT,1179.00,141354.00
